Time,Time Code,Country Name,Country Code, ,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP (current LCU) [NY.GDP.MKTP.CN],GDP per capita (constant LCU) [NY.GDP.PCAP.KN],General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]
,,,,Scale (Precision),Billions (0),Thousands (0.0),Millions (0.0),Unit (0.00),Thousands (0.0),Billions (0),Unit (0.00),Billions (0),Thousands (0.0),Unit (0.00),Unit (0.00)
2012,YR2012,China,CHN,,8532,6.3,1350.7,7.34,11.2,15125,7.86,53858,41.2,15.76,1.84
2012,YR2012,India,IND,,1828,1.4,1265.8,4.17,4.9,6153,5.46,99440,72.8,10.68,2.54
2012,YR2012,Indonesia,IDN,,918,3.7,248.5,4.61,9.7,2413,6.03,8615705,31100.9,9.25,0.71
2012,YR2012,"Korea, Rep.",KOR,,1278,25.5,50.2,1.87,33.6,1685,2.4,1440111,30174.1,14.69,2.5
2012,YR2012,Saudi Arabia,SAU,,736,25.2,29.2,2.2,57.4,1672,5.41,2760,78.8,19.97,7.68
2012,YR2012,Turkey,TUR,,874,11.7,74.7,3.09,20.6,1539,4.79,1570,16.9,14.23,2.02
2012,YR2012,United Kingdom,GBR,,2705,42.5,63.7,0.78,38.3,2440,1.48,1712,28.1,20.78,2.19
2012,YR2012,United States,USA,,16197,51.6,313.8,1.51,51.6,16197,2.25,16197,54.1,15.53,4.48
2012,YR2012,Brunei Darussalam,BRN,,19,47.7,0.4,-0.43,88.2,35,0.91,24,49,18.44,2.16
2012,YR2012,Israel,ISR,,257,32.5,7.9,0.39,31.7,251,2.26,992,133.3,22.77,5.67
2012,YR2012,Kuwait,KWT,,174,52,3.3,0.87,82.7,277,6.63,49,11.5,15.06,3.41
2012,YR2012,Monaco,MCO,,6,157.5,0,-0.21,,,1,4,120,,
2012,YR2012,Oman,OMN,,77,21.9,3.5,1.61,44.6,156,9.33,29,7,19.56,12.06
2012,YR2012,Qatar,QAT,,187,85.1,2.2,-2.95,141.6,311,4.69,680,315.5,12.25,
2012,YR2012,Singapore,SGP,,295,55.5,5.3,1.93,82.1,436,4.46,369,71,8.86,3.16
2012,YR2012,United Arab Emirates,ARE,,375,41,9.1,2.26,69.1,632,4.48,1376,130.1,9.73,5.08
2012,YR2012,Afghanistan,AFG,,20,0.6,31.2,8.97,1.9,60,12.75,1029,14.1,12.43,1.18
2012,YR2012,Arab World,ARB,,2773,7.5,371.4,4.21,16.5,6146,6.59,,,15.86,5
2012,YR2012,Bangladesh,BGD,,133,0.9,151,5.3,2.9,444,6.52,10552,45.6,5.04,1.32
2012,YR2012,East Asia & Pacific,EAS,,21072,9.4,2236.8,3.99,13.5,30122,4.69,,,16.75,1.55
2012,YR2012,"Egypt, Arab Rep.",EGY,,279,3.2,86.4,-0.01,11.1,959,2.23,1675,33.6,11.18,1.65
2012,YR2012,Europe & Central Asia,ECS,,22406,25.1,893.8,-0.09,28.4,25405,0.32,,,20.29,1.75
2012,YR2012,"Iran, Islamic Rep.",IRN,,599,7.9,75.5,-8.55,16,1205,-7.44,7341943,78371.2,9.46,2.76
2012,YR2012,Iraq,IRQ,,218,6.8,31.9,9.78,15.2,484,13.94,254225,5098.4,16.58,1.9
2012,YR2012,Jordan,JOR,,31,3.9,8.1,-2.78,9.1,74,2.65,22,3.1,16.43,4.76
2012,YR2012,Lebanon,LBN,,44,8,5.5,-3.69,14.8,82,2.54,66384,10822.5,13.66,3.99
2012,YR2012,Malaysia,MYS,,314,10.8,29.1,3.96,23,668,5.47,971,34.7,13.84,1.43
2012,YR2012,Middle East & North Africa,MEA,,3576,8.9,402,1.81,18.5,7432,3.89,,,15.53,4.64
2012,YR2012,Pakistan,PAK,,224,1.2,187.3,1.33,4,753,3.51,20047,52,10.49,3.48
2012,YR2012,Philippines,PHL,,262,2.7,97.2,5.09,6.3,612,6.9,11061,127.7,10.79,1.16
2012,YR2012,South Africa,ZAF,,396,7.5,52.8,0.61,12.1,637,2.21,3254,54.9,20.26,1.13
2012,YR2012,South Asia,SAS,,2297,1.4,1683.7,4.11,4.6,7689,5.5,,,10.26,2.53
2012,YR2012,Sri Lanka,LKA,,68,3.4,20.4,9,10.3,211,9.14,8732,371.5,7.62,2.16
2012,YR2012,Thailand,THA,,398,5.9,67.8,6.74,14.9,1009,7.24,12357,131.2,16.35,1.38
2012,YR2012,Bahrain,BHR,,31,23.7,1.3,1.99,50.7,66,3.73,12,7.9,15.44,3.84
2012,YR2012,"Hong Kong SAR, China",HKG,,263,36.7,7.2,0.58,52.2,373,1.7,2037,323.3,9.1,
2012,YR2012,North America,NAC,,18031,51.7,348.6,1.42,50.7,17669,2.2,,,16.03,4.14
2012,YR2012,World,WLD,,75146,10.6,7085.8,1.32,14.1,100090,2.52,,,17.37,2.38
2013,YR2013,China,CHN,,9570,7.1,1357.4,7.24,11.9,16185,7.77,59296,44.1,15.88,1.87
2013,YR2013,India,IND,,1857,1.4,1280.8,5.13,5.1,6478,6.39,112335,76.5,10.3,2.47
2013,YR2013,Indonesia,IDN,,913,3.6,251.8,4.15,10.1,2535,5.56,9546134,32391.9,9.52,0.92
2013,YR2013,"Korea, Rep.",KOR,,1371,27.2,50.4,2.7,34.2,1727,3.16,1500819,30987.7,14.98,2.5
2013,YR2013,Saudi Arabia,SAU,,747,24.8,30.1,-0.37,55.9,1680,2.7,2800,78.5,22.45,8.98
2013,YR2013,Turkey,TUR,,951,12.5,75.9,6.67,22.3,1691,8.49,1810,18,14.12,1.94
2013,YR2013,United Kingdom,GBR,,2786,43.4,64.1,1.46,40,2563,2.14,1782,28.5,20.12,2.07
2013,YR2013,United States,USA,,16785,53.1,316,1.15,53.1,16785,1.84,16785,54.7,15.09,4.05
2013,YR2013,Brunei Darussalam,BRN,,18,44.7,0.4,-3.44,83.8,34,-2.13,23,47.4,20.16,2.28
2013,YR2013,Israel,ISR,,293,36.3,8.1,2.22,34.1,275,4.15,1057,136.2,22.77,5.57
2013,YR2013,Kuwait,KWT,,174,49.4,3.5,-3.94,78.1,275,1.15,49,11.1,16.39,3.27
2013,YR2013,Monaco,MCO,,7,177.7,0,8.29,,,9.6,5,130,,
2013,YR2013,Oman,OMN,,79,20.9,3.8,-3.02,42.2,159,4.37,30,6.8,21.57,11.11
2013,YR2013,Qatar,QAT,,199,85.1,2.3,-1.87,138.2,323,4.41,723,309.6,14.56,
2013,YR2013,Singapore,SGP,,308,57,5.4,3.15,83,448,4.84,385,73.3,9.74,3.07
2013,YR2013,United Arab Emirates,ARE,,390,42.4,9.2,4.41,70.4,647,5.05,1433,135.8,10.98,6.03
2013,YR2013,Afghanistan,AFG,,21,0.6,32.3,1.97,2,65,5.6,1139,14.3,12.09,1.08
2013,YR2013,Arab World,ARB,,2855,7.5,379.7,0.94,16.5,6266,3.18,,,17.22,5.76
2013,YR2013,Bangladesh,BGD,,150,1,152.8,4.79,3.1,480,6.01,11989,47.8,5.12,1.26
2013,YR2013,East Asia & Pacific,EAS,,21318,9.5,2252,4.06,14.2,31920,4.77,,,16.79,1.61
2013,YR2013,"Egypt, Arab Rep.",EGY,,289,3.3,88.4,-0.11,11.2,992,2.19,1860,33.6,11.35,1.61
2013,YR2013,Europe & Central Asia,ECS,,23414,26.1,898.1,0.42,29.7,26692,0.9,,,20.32,1.71
2013,YR2013,"Iran, Islamic Rep.",IRN,,460,6,76.5,-1.42,15.3,1168,-0.19,9933968,77255.7,9.24,2.24
2013,YR2013,Iraq,IRQ,,235,7.1,33.2,3.49,15.5,515,7.6,273588,5276.2,21,3.32
2013,YR2013,Jordan,JOR,,34,4,8.5,-2.36,9.2,79,2.83,24,3,15.35,4.3
2013,YR2013,Lebanon,LBN,,47,7.9,5.9,-2.79,15,89,3.81,70716,10520.8,12.92,4.17
2013,YR2013,Malaysia,MYS,,323,11,29.5,3.27,23.5,692,4.69,1019,35.9,13.72,1.52
2013,YR2013,Middle East & North Africa,MEA,,3547,8.7,410,0.7,18.4,7531,2.71,,,16.53,5.23
